,home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date,home_rank,home_total_points,home_rank_change,home_previous_points,home_conf,away_rank,away_total_points,away_rank_change,away_previous_points,away_conf,hour
15,Czechia,Malta,7,1,25.63636363636364,30.181818181818183,2024-06-07,31.0,1510.42,-1.0,1510.42,UEFA,174.0,958.95,-1.0,958.95,UEFA,15
16,Portugal,Czechia,2,1,28.90909090909091,27.454545454545453,2024-06-18,8.0,1660.25,0.0,1660.25,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,19
17,Czechia,Spain,2,2,27.181818181818183,26.375,2022-06-05,31.0,1510.42,-1.0,1510.42,UEFA,7.0,1704.75,0.0,1704.75,UEFA,18
18,Sweden,Czechia,1,0,29.181818181818183,26.545454545454547,2022-03-24,17.0,1588.26,-1.0,1588.26,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,19
19,Georgia,Czechia,1,1,26.63636363636364,27.09090909090909,2024-06-22,86.0,1269.24,1.0,1269.24,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,13
20,Georgia,Czechia,4,1,27.545454545454547,26.09090909090909,2024-09-07,86.0,1269.24,1.0,1269.24,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,16
21,Czechia,Georgia,2,1,27.454545454545453,27.545454545454547,2024-11-19,31.0,1510.42,-1.0,1510.42,UEFA,86.0,1269.24,1.0,1269.24,UEFA,19
28,Norway,Czechia,1,2,26.454545454545453,27.272727272727277,2024-03-22,45.0,1455.43,4.0,1455.43,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,17
30,Croatia,Czechia,5,1,29.818181818181817,28.727272727272727,2025-06-09,15.0,1620.74,0.0,1620.74,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
31,Czechia,Croatia,0,0,27.454545454545453,30.09090909090909,2025-10-09,31.0,1510.42,-1.0,1510.42,UEFA,15.0,1620.74,0.0,1620.74,UEFA,18
32,Czechia,Switzerland,2,1,26.272727272727277,27.818181818181817,2022-06-02,31.0,1510.42,-1.0,1510.42,UEFA,14.0,1642.83,1.0,1642.83,UEFA,18
33,Moldova,Czechia,0,0,26.181818181818183,27.363636363636363,2023-03-27,181.0,926.85,0.0,928.35,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
34,Moldova,Czechia,0,0,26.181818181818183,27.363636363636363,2023-03-27,181.0,926.85,0.0,928.35,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
35,Czechia,Moldova,3,0,25.727272727272727,26.0,2023-11-20,31.0,1510.42,-1.0,1510.42,UEFA,181.0,926.85,0.0,928.35,UEFA,19
36,Czechia,Poland,3,1,26.63636363636364,27.272727272727277,2023-03-24,31.0,1510.42,-1.0,1510.42,UEFA,28.0,1530.62,1.0,1530.62,UEFA,19
37,Poland,Czechia,1,1,26.33333333333333,27.0,2023-11-17,28.0,1530.62,1.0,1530.62,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,19
38,Czechia,Poland,3,1,26.63636363636364,27.272727272727277,2023-03-24,31.0,1510.42,-1.0,1510.42,UEFA,28.0,1530.62,1.0,1530.62,UEFA,19
39,Poland,Czechia,1,1,27.09090909090909,26.90909090909091,2023-11-17,28.0,1530.62,1.0,1530.62,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,19
40,Czechia,Ukraine,3,2,26.727272727272727,26.727272727272727,2024-09-10,31.0,1510.42,-1.0,1510.42,UEFA,27.0,1535.08,2.0,1535.08,UEFA,18
41,Ukraine,Czechia,1,1,25.63636363636364,26.818181818181817,2024-10-14,27.0,1535.08,2.0,1535.08,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,18
42,Gibraltar,Czechia,0,4,24.63636363636364,27.90909090909091,2025-03-25,203.0,853.6,0.0,853.6,UEFA,31.0,1510.42,-1.0,1510.42,UEFA,19
43,Czechia,Gibraltar,6,0,27.63636363636364,23.90909090909091,2025-11-17,31.0,1510.42,-1.0,1510.42,UEFA,203.0,853.6,0.0,853.6,UEFA,19
44,Czechia,Armenia,2,1,25.181818181818183,28.09090909090909,2024-03-26,31.0,1510.42,-1.0,1510.42,UEFA,92.0,1242.24,0.0,1242.24,UEFA,19
45,Costa Rica,Uruguay,0,0,24.818181818181817,23.545454545454547,2024-06-01,42.0,1464.06,-7.0,1437.43,CONCACAF,16.0,1614.05,-1.0,1596.66,CONMEBOL,2
46,Uruguay,Nicaragua,4,1,24.454545454545453,27.818181818181817,2023-06-14,16.0,1614.05,-1.0,1596.66,CONMEBOL,144.0,1062.21,1.0,1062.21,CONCACAF,23
47,Uruguay,Peru,3,0,28.272727272727277,29.272727272727277,2025-09-04,16.0,1614.05,-1.0,1596.66,CONMEBOL,22.0,1563.45,0.0,1551.15,CONMEBOL,23
48,Peru,Uruguay,0,1,29.363636363636363,26.63636363636364,2024-10-12,22.0,1563.45,0.0,1551.15,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,1
49,Uruguay,Peru,1,0,26.90909090909091,30.63636363636364,2022-03-24,16.0,1614.05,-1.0,1596.66,CONMEBOL,22.0,1563.45,0.0,1551.15,CONMEBOL,23
50,England,Uruguay,1,1,27.727272727272727,29.818181818181817,2026-03-27,5.0,1755.52,1.0,1755.52,UEFA,16.0,1614.05,-1.0,1596.66,CONMEBOL,19
51,Ghana,Uruguay,2,0,26.545454545454547,27.09090909090909,2022-12-02,61.0,1381.45,9.0,1428.97,CAF,16.0,1614.05,-1.0,1596.66,CONMEBOL,15
52,Chile,Uruguay,0,0,27.363636363636363,26.454545454545453,2025-09-09,26.0,1543.16,2.0,1543.42,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,23
53,Uruguay,Chile,3,1,25.0,27.272727272727277,2023-09-08,16.0,1614.05,-1.0,1596.66,CONMEBOL,26.0,1543.16,2.0,1543.42,CONMEBOL,23
54,Chile,Uruguay,2,0,29.727272727272727,27.63636363636364,2022-03-29,26.0,1543.16,2.0,1543.42,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,23
55,Uruguay,Panama,3,1,26.363636363636363,28.181818181818183,2024-06-24,16.0,1614.05,-1.0,1596.66,CONMEBOL,63.0,1375.56,0.0,1379.34,CONCACAF,1
56,Uruguay,Panama,5,0,28.0,25.818181818181817,2022-06-11,16.0,1614.05,-1.0,1596.66,CONMEBOL,63.0,1375.56,0.0,1379.34,CONCACAF,20
57,South Korea,Uruguay,2,1,30.363636363636363,26.727272727272727,2023-03-28,29.0,1522.85,-4.0,1507.24,AFC,16.0,1614.05,-1.0,1596.66,CONMEBOL,11
58,Uruguay,South Korea,0,0,28.272727272727277,29.272727272727277,2022-11-24,16.0,1614.05,-1.0,1596.66,CONMEBOL,29.0,1522.85,-4.0,1507.24,AFC,13
59,Portugal,Uruguay,0,2,27.818181818181817,28.727272727272727,2022-11-28,8.0,1660.25,0.0,1660.25,UEFA,16.0,1614.05,-1.0,1596.66,CONMEBOL,19
60,Bolivia,Uruguay,0,0,25.63636363636364,27.818181818181817,2025-03-25,76.0,1308.12,-1.0,1324.21,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,20
61,Uruguay,Bolivia,5,0,26.09090909090909,25.727272727272727,2024-06-28,16.0,1614.05,-1.0,1596.66,CONMEBOL,76.0,1308.12,-1.0,1324.21,CONMEBOL,1
62,Uruguay,Bolivia,3,0,25.09090909090909,27.454545454545453,2023-11-21,16.0,1614.05,-1.0,1596.66,CONMEBOL,76.0,1308.12,-1.0,1324.21,CONMEBOL,23
63,Uruguay,Argentina,0,1,27.90909090909091,28.272727272727277,2025-03-21,16.0,1614.05,-1.0,1596.66,CONMEBOL,4.0,1766.99,-1.0,1750.51,CONMEBOL,23
64,Argentina,Uruguay,2,0,27.90909090909091,24.727272727272727,2023-11-17,4.0,1766.99,-1.0,1750.51,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,0
65,Uruguay,Cuba,2,0,25.181818181818183,26.454545454545453,2023-06-20,16.0,1614.05,-1.0,1596.66,CONMEBOL,179.0,948.96,0.0,948.96,CONCACAF,23
66,Guatemala,Uruguay,1,1,26.90909090909091,24.09090909090909,2024-09-01,123.0,1138.4,1.0,1138.4,CONCACAF,16.0,1614.05,-1.0,1596.66,CONMEBOL,23
67,Uruguay,Venezuela,2,0,27.727272727272727,28.09090909090909,2025-06-10,16.0,1614.05,-1.0,1596.66,CONMEBOL,58.0,1411.45,-1.0,1409.14,CONMEBOL,23
68,Venezuela,Uruguay,0,0,27.545454545454547,25.818181818181817,2024-09-10,58.0,1411.45,-1.0,1409.14,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,22
70,Uruguay,Colombia,0,1,26.09090909090909,29.09090909090909,2024-07-11,16.0,1614.05,-1.0,1596.66,CONMEBOL,19.0,1585.89,3.0,1607.15,CONMEBOL,0
71,Uruguay,Colombia,3,2,27.0,27.727272727272727,2024-11-16,16.0,1614.05,-1.0,1596.66,CONMEBOL,19.0,1585.89,3.0,1607.15,CONMEBOL,0
72,Colombia,Uruguay,2,2,29.272727272727277,24.454545454545453,2023-10-12,19.0,1585.89,3.0,1607.15,CONMEBOL,16.0,1614.05,-1.0,1596.66,CONMEBOL,20
73,Uzbekistan,Uruguay,2,1,27.272727272727277,25.545454545454547,2025-10-13,85.0,1277.02,1.0,1274.58,AFC,16.0,1614.05,-1.0,1596.66,CONMEBOL,12
74,Algeria,Uruguay,0,0,26.90909090909091,29.09090909090909,2026-03-31,43.0,1460.93,14.0,1516.51,CAF,16.0,1614.05,-1.0,1596.66,CONMEBOL,18
75,Morocco,Sierra Leone,3,1,27.818181818181817,24.09090909090909,2024-01-11,24.0,1547.42,-4.0,1529.93,CAF,107.0,1173.81,-1.0,1174.12,CAF,15
76,Morocco,Angola,2,0,26.09090909090909,27.666666666666668,2025-08-03,24.0,1547.42,-4.0,1529.93,CAF,127.0,1131.72,1.0,1131.72,CAF,15
77,Morocco,Angola,1,0,27.181818181818183,27.818181818181817,2024-03-22,24.0,1547.42,-4.0,1529.93,CAF,127.0,1131.72,1.0,1131.72,CAF,22
78,Belgium,Morocco,0,2,31.5,25.77777777777778,2022-11-27,1.0,1828.45,0.0,1828.45,UEFA,24.0,1547.42,-4.0,1529.93,CAF,13
79,Morocco,Peru,0,0,26.63636363636364,31.0,2023-03-28,24.0,1547.42,-4.0,1529.93,CAF,22.0,1563.45,0.0,1551.15,CONMEBOL,19
80,Morocco,Gabon,4,1,26.727272727272727,27.272727272727277,2024-09-06,24.0,1547.42,-4.0,1529.93,CAF,82.0,1290.65,-7.0,1262.0,CAF,19
81,Gabon,Morocco,1,5,28.181818181818183,26.63636363636364,2024-11-15,82.0,1290.65,-7.0,1262.0,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
82,Morocco,Paraguay,2,1,25.363636363636363,28.363636363636363,2026-03-31,24.0,1547.42,-4.0,1529.93,CAF,50.0,1440.53,7.0,1454.52,CONMEBOL,18
83,Morocco,Liberia,3,0,26.09090909090909,24.7,2023-10-17,24.0,1547.42,-4.0,1529.93,CAF,145.0,1058.28,1.0,1058.28,CAF,19
84,Morocco,Liberia,3,0,26.09090909090909,24.63636363636364,2023-10-17,24.0,1547.42,-4.0,1529.93,CAF,145.0,1058.28,1.0,1058.28,CAF,19
85,Canada,Morocco,1,2,28.0,26.818181818181817,2022-12-01,33.0,1497.82,-7.0,1462.32,CONCACAF,24.0,1547.42,-4.0,1529.93,CAF,15
86,Morocco,Comoros,2,0,27.818181818181817,27.0,2025-12-21,24.0,1547.42,-4.0,1529.93,CAF,131.0,1126.2,-1.0,1117.65,CAF,19
87,Congo,Morocco,0,6,26.272727272727277,26.818181818181817,2024-06-11,97.0,1221.4,0.0,1221.4,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
88,Cameroon,Morocco,0,2,24.818181818181817,28.272727272727277,2026-01-09,38.0,1480.82,-12.0,1437.35,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
89,Zambia,Morocco,0,3,25.454545454545453,28.09090909090909,2025-12-29,88.0,1264.64,0.0,1264.64,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
90,Zambia,Morocco,0,1,26.90909090909091,29.181818181818183,2024-01-24,88.0,1264.64,0.0,1264.64,CAF,24.0,1547.42,-4.0,1529.93,CAF,20
91,Morocco,Zambia,2,1,27.181818181818183,26.545454545454547,2024-06-07,24.0,1547.42,-4.0,1529.93,CAF,88.0,1264.64,0.0,1264.64,CAF,19
92,Morocco,Spain,3,0,26.818181818181817,25.727272727272727,2022-12-06,24.0,1547.42,-4.0,1529.93,CAF,7.0,1704.75,0.0,1704.75,UEFA,15
93,Morocco,Mali,1,1,27.90909090909091,25.727272727272727,2025-12-26,24.0,1547.42,-4.0,1529.93,CAF,48.0,1446.49,-5.0,1427.98,CAF,20
94,Morocco,Ecuador,1,1,27.63636363636364,27.181818181818183,2026-03-27,24.0,1547.42,-4.0,1529.93,CAF,44.0,1458.63,-2.0,1448.27,CONMEBOL,20
95,Nigeria,Morocco,2,4,28.363636363636363,28.272727272727277,2026-01-14,32.0,1509.91,-4.0,1478.78,CAF,24.0,1547.42,-4.0,1529.93,CAF,20
96,Morocco,Mauritania,0,0,25.90909090909091,26.545454545454547,2024-03-26,24.0,1547.42,-4.0,1529.93,CAF,116.0,1152.52,13.0,1190.26,CAF,22
97,Lesotho,Morocco,0,1,27.818181818181817,26.09090909090909,2024-09-09,146.0,1057.62,1.0,1057.62,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
98,Morocco,Lesotho,7,0,25.63636363636364,27.818181818181817,2024-11-18,24.0,1547.42,-4.0,1529.93,CAF,146.0,1057.62,1.0,1057.62,CAF,19
99,Morocco,Tanzania,1,0,28.272727272727277,28.181818181818183,2026-01-04,24.0,1547.42,-4.0,1529.93,CAF,132.0,1118.76,1.0,1118.76,CAF,16
100,Morocco,Tanzania,3,0,28.454545454545453,27.454545454545453,2024-01-17,24.0,1547.42,-4.0,1529.93,CAF,132.0,1118.76,1.0,1118.76,CAF,17
101,Tanzania,Morocco,0,2,24.454545454545453,26.727272727272727,2023-11-21,132.0,1118.76,1.0,1118.76,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
102,Morocco,Croatia,0,0,26.818181818181817,28.63636363636364,2022-11-23,24.0,1547.42,-4.0,1529.93,CAF,15.0,1620.74,0.0,1620.74,UEFA,10
103,Senegal,Morocco,0,3,27.272727272727277,28.272727272727277,2026-01-18,18.0,1587.78,-2.0,1561.68,CAF,24.0,1547.42,-4.0,1529.93,CAF,19
104,Morocco,DR Congo,1,1,29.181818181818183,29.63636363636364,2024-01-21,24.0,1547.42,-4.0,1529.93,CAF,66.0,1369.53,2.0,1375.64,CAF,14
105,Austria,South Korea,1,0,29.0,29.0,2026-03-31,30.0,1511.56,-1.0,1511.56,UEFA,29.0,1522.85,-4.0,1507.24,AFC,18
106,Australia,South Korea,1,2,29.272727272727277,29.454545454545453,2024-02-02,37.0,1486.86,2.0,1484.88,AFC,29.0,1522.85,-4.0,1507.24,AFC,15
107,South Korea,Hong Kong,2,0,25.545454545454547,28.727272727272727,2025-07-11,29.0,1522.85,-4.0,1507.24,AFC,148.0,1053.39,1.0,1053.39,AFC,11
108,South Korea,Jordan,1,1,30.0,27.63636363636364,2025-03-25,29.0,1522.85,-4.0,1507.24,AFC,90.0,1259.84,0.0,1255.69,AFC,11
109,Jordan,South Korea,2,2,28.90909090909091,29.272727272727277,2024-01-20,90.0,1259.84,0.0,1255.69,AFC,29.0,1522.85,-4.0,1507.24,AFC,11
110,Jordan,South Korea,2,0,28.454545454545453,30.181818181818183,2024-02-06,90.0,1259.84,0.0,1255.69,AFC,29.0,1522.85,-4.0,1507.24,AFC,15
111,South Korea,Paraguay,2,0,29.09090909090909,27.272727272727277,2025-10-14,29.0,1522.85,-4.0,1507.24,AFC,50.0,1440.53,7.0,1454.52,CONMEBOL,11
115,Saudi Arabia,South Korea,2,4,29.63636363636364,29.63636363636364,2024-01-30,53.0,1433.95,2.0,1434.71,AFC,29.0,1522.85,-4.0,1507.24,AFC,16
116,South Korea,Ghana,1,0,26.63636363636364,23.727272727272727,2025-11-18,29.0,1522.85,-4.0,1507.24,AFC,61.0,1381.45,9.0,1428.97,CAF,11
117,South Korea,Bahrain,3,1,29.363636363636363,29.727272727272727,2024-01-15,29.0,1522.85,-4.0,1507.24,AFC,89.0,1263.61,-2.0,1252.19,AFC,11
118,South Korea,Thailand,1,1,30.0,0.0,2024-03-21,29.0,1522.85,-4.0,1507.24,AFC,112.0,1160.14,-3.0,1156.16,AFC,11
119,United States,South Korea,0,2,26.545454545454547,28.272727272727277,2025-09-06,13.0,1643.34,2.0,1648.51,CONCACAF,29.0,1522.85,-4.0,1507.24,AFC,21
120,South Korea,Brazil,0,5,28.545454545454547,26.545454545454547,2025-10-10,29.0,1522.85,-4.0,1507.24,AFC,2.0,1823.42,0.0,1826.35,CONMEBOL,11
121,South Korea,Ivory Coast,0,4,28.90909090909091,26.727272727272727,2026-03-28,29.0,1522.85,-4.0,1507.24,AFC,51.0,1439.62,-5.0,1417.86,CAF,14
122,South Korea,Malaysia,3,3,29.272727272727277,29.363636363636363,2024-01-25,29.0,1522.85,-4.0,1507.24,AFC,154.0,1034.53,0.0,1034.53,AFC,11
123,South Korea,Oman,1,1,30.545454545454547,29.818181818181817,2025-03-20,29.0,1522.85,-4.0,1507.24,AFC,79.0,1301.0,0.0,1306.01,AFC,11
124,South Korea,Bolivia,2,0,29.63636363636364,23.545454545454547,2025-11-14,29.0,1522.85,-4.0,1507.24,AFC,76.0,1308.12,-1.0,1324.21,CONMEBOL,11
125,Mexico,South Korea,2,2,26.272727272727277,27.09090909090909,2025-09-10,12.0,1647.9,-2.0,1638.3,CONCACAF,29.0,1522.85,-4.0,1507.24,AFC,1
126,South Korea,Singapore,5,0,28.09090909090909,29.09090909090909,2023-11-16,29.0,1522.85,-4.0,1507.24,AFC,161.0,1000.78,1.0,1003.39,AFC,11
127,South Korea,Singapore,5,0,28.09090909090909,29.09090909090909,2023-11-16,29.0,1522.85,-4.0,1507.24,AFC,161.0,1000.78,1.0,1003.39,AFC,11
128,Iraq,South Korea,0,2,26.545454545454547,29.0,2025-06-05,74.0,1325.44,-1.0,1333.03,AFC,29.0,1522.85,-4.0,1507.24,AFC,18
129,South Korea,Japan,0,1,28.818181818181817,27.90909090909091,2025-07-15,29.0,1522.85,-4.0,1507.24,AFC,23.0,1549.82,-3.0,1531.53,AFC,10
130,South Korea,Kuwait,4,0,25.727272727272727,27.363636363636363,2025-06-10,29.0,1522.85,-4.0,1507.24,AFC,143.0,1065.56,1.0,1064.02,AFC,11
131,Switzerland,Kosovo,4,0,29.181818181818183,27.818181818181817,2025-09-05,14.0,1642.83,1.0,1642.83,UEFA,109.0,1163.05,-2.0,1163.05,UEFA,18
132,Kosovo,Switzerland,1,1,27.181818181818183,28.727272727272727,2025-11-18,109.0,1163.05,-2.0,1163.05,UEFA,14.0,1642.83,1.0,1642.83,UEFA,19
133,Kosovo,Switzerland,2,2,27.5,29.0,2023-09-09,109.0,1163.05,-2.0,1163.05,UEFA,14.0,1642.83,1.0,1642.83,UEFA,18
134,Belarus,Switzerland,0,5,27.09090909090909,29.454545454545453,2023-03-25,94.0,1233.43,0.0,1233.43,UEFA,14.0,1642.83,1.0,1642.83,UEFA,17
135,Hungary,Switzerland,1,3,28.454545454545453,29.90909090909091,2024-06-15,41.0,1465.62,2.0,1465.62,UEFA,14.0,1642.83,1.0,1642.83,UEFA,13
136,Switzerland,Germany,3,4,30.181818181818183,29.0,2026-03-27,14.0,1642.83,1.0,1642.83,UEFA,11.0,1648.33,-1.0,1648.33,UEFA,19
137,Switzerland,Germany,1,1,29.545454545454547,29.22222222222222,2024-06-23,14.0,1642.83,1.0,1642.83,UEFA,11.0,1648.33,-1.0,1648.33,UEFA,19
138,Switzerland,Romania,2,2,28.818181818181817,26.363636363636363,2023-06-19,14.0,1642.83,1.0,1642.83,UEFA,47.0,1453.18,3.0,1453.18,UEFA,18
139,United States,Switzerland,0,4,25.63636363636364,27.545454545454547,2025-06-11,13.0,1643.34,2.0,1648.51,CONCACAF,14.0,1642.83,1.0,1642.83,UEFA,0
140,Switzerland,Slovenia,3,0,29.181818181818183,27.454545454545453,2025-09-08,14.0,1642.83,1.0,1642.83,UEFA,64.0,1375.42,-1.0,1375.42,UEFA,18
141,Slovenia,Switzerland,0,0,27.363636363636363,29.63636363636364,2025-10-13,64.0,1375.42,-1.0,1375.42,UEFA,14.0,1642.83,1.0,1642.83,UEFA,18
142,Brazil,Switzerland,1,0,28.0,27.272727272727277,2022-11-28,2.0,1823.42,0.0,1826.35,CONMEBOL,14.0,1642.83,1.0,1642.83,UEFA,16
143,Scotland,Switzerland,1,1,28.454545454545453,30.454545454545453,2024-06-19,40.0,1471.82,2.0,1471.82,UEFA,14.0,1642.83,1.0,1642.83,UEFA,19
144,Switzerland,Cameroon,1,0,28.272727272727277,27.454545454545453,2022-11-24,14.0,1642.83,1.0,1642.83,UEFA,38.0,1480.82,-12.0,1437.35,CAF,10
145,Switzerland,Luxembourg,3,1,28.454545454545453,26.545454545454547,2025-03-25,14.0,1642.83,1.0,1642.83,UEFA,93.0,1236.45,0.0,1236.45,UEFA,19
146,Andorra,Switzerland,1,2,25.09090909090909,28.0,2023-06-16,155.0,1030.28,0.0,1030.28,UEFA,14.0,1642.83,1.0,1642.83,UEFA,18
147,Sweden,Switzerland,0,2,26.09090909090909,29.181818181818183,2025-10-10,17.0,1588.26,-1.0,1588.26,UEFA,14.0,1642.83,1.0,1642.83,UEFA,18
148,Switzerland,Sweden,4,1,28.727272727272727,25.272727272727277,2025-11-15,14.0,1642.83,1.0,1642.83,UEFA,17.0,1588.26,-1.0,1588.26,UEFA,19
149,Norway,Switzerland,0,0,28.0,28.818181818181817,2026-03-31,45.0,1455.43,4.0,1455.43,UEFA,14.0,1642.83,1.0,1642.83,UEFA,16
150,Mexico,Switzerland,2,4,25.727272727272727,28.818181818181817,2025-06-07,12.0,1647.9,-2.0,1638.3,CONCACAF,14.0,1642.83,1.0,1642.83,UEFA,20
151,Serbia,Switzerland,2,3,26.11111111111111,28.666666666666668,2022-12-02,25.0,1547.38,2.0,1547.38,UEFA,14.0,1642.83,1.0,1642.83,UEFA,19
152,Switzerland,Israel,3,0,28.63636363636364,26.63636363636364,2023-03-28,14.0,1642.83,1.0,1642.83,UEFA,77.0,1306.7,-1.0,1306.7,UEFA,18
153,Azerbaijan,Belgium,0,1,26.454545454545453,27.272727272727277,2023-09-09,121.0,1139.02,1.0,1139.02,UEFA,1.0,1828.45,0.0,1828.45,UEFA,13
154,Belgium,Azerbaijan,5,0,26.272727272727277,27.0,2023-11-19,1.0,1828.45,0.0,1828.45,UEFA,121.0,1139.02,1.0,1139.02,UEFA,17
155,Belgium,Austria,1,1,26.63636363636364,26.63636363636364,2023-06-17,1.0,1828.45,0.0,1828.45,UEFA,30.0,1511.56,-1.0,1511.56,UEFA,18
156,Austria,Belgium,2,3,25.363636363636363,26.363636363636363,2023-10-13,30.0,1511.56,-1.0,1511.56,UEFA,1.0,1828.45,0.0,1828.45,UEFA,18
157,England,Belgium,2,2,26.63636363636364,27.454545454545453,2024-03-26,5.0,1755.52,1.0,1755.52,UEFA,1.0,1828.45,0.0,1828.45,UEFA,19
158,Italy,Belgium,2,2,25.363636363636363,25.363636363636363,2024-10-10,6.0,1740.77,0.0,1740.77,UEFA,1.0,1828.45,0.0,1828.45,UEFA,18
159,Belgium,Italy,0,1,25.90909090909091,25.545454545454547,2024-11-14,1.0,1828.45,0.0,1828.45,UEFA,6.0,1740.77,0.0,1740.77,UEFA,19
160,France,Belgium,1,0,27.545454545454547,28.363636363636363,2024-07-01,3.0,1786.15,0.0,1786.15,UEFA,1.0,1828.45,0.0,1828.45,UEFA,16
161,France,Belgium,2,0,26.90909090909091,26.181818181818183,2024-09-09,3.0,1786.15,0.0,1786.15,UEFA,1.0,1828.45,0.0,1828.45,UEFA,18
162,Belgium,France,1,2,25.818181818181817,25.545454545454547,2024-10-14,1.0,1828.45,0.0,1828.45,UEFA,3.0,1786.15,0.0,1786.15,UEFA,18
163,Belgium,Romania,2,0,28.272727272727277,28.0,2024-06-22,1.0,1828.45,0.0,1828.45,UEFA,47.0,1453.18,3.0,1453.18,UEFA,19
164,Liechtenstein,Belgium,0,6,28.363636363636363,27.454545454545453,2025-09-04,191.0,899.52,0.0,899.52,UEFA,1.0,1828.45,0.0,1828.45,UEFA,18
165,Belgium,Liechtenstein,7,0,27.454545454545453,28.363636363636363,2025-11-18,1.0,1828.45,0.0,1828.45,UEFA,191.0,899.52,0.0,899.52,UEFA,19
166,Belgium,Montenegro,2,0,26.09090909090909,28.0,2024-06-05,1.0,1828.45,0.0,1828.45,UEFA,72.0,1342.89,0.0,1342.89,UEFA,18
